orderdate,ordernumber,productName,productLine,customerName,customer_country,office_country,buyPrice,priceEach,quantityOrdered,sales_value,cost_of_sales
4/29/2003,10120,1996 Moto Guzzi 1100i,Motorcycles,"Australian Collectors, Co.",Australia,Australia,68.99,118.94,29,3449.26,2000.71
4/29/2003,10120,2003 Harley-Davidson Eagle Drag Bike,Motorcycles,"Australian Collectors, Co.",Australia,Australia,91.02,158.8,46,7304.8,4186.92
4/29/2003,10120,P-51-D Mustang,Planes,"Australian Collectors, Co.",Australia,Australia,49,82.79,29,2400.91,1421
4/29/2003,10120,1936 Harley Davidson El Knucklehead,Motorcycles,"Australian Collectors, Co.",Australia,Australia,24.23,57.54,46,2646.84,1114.58
4/29/2003,10120,1997 BMW R 1100 S,Motorcycles,"Australian Collectors, Co.",Australia,Australia,60.86,110.45,35,3865.75,2130.1
4/29/2003,10120,1928 British Royal Navy Airplane,Planes,"Australian Collectors, Co.",Australia,Australia,66.74,93.01,39,3627.39,2602.86
4/29/2003,10120,1960 BSA Gold Star DBD34,Motorcycles,"Australian Collectors, Co.",Australia,Australia,37.32,72.36,34,2460.24,1268.88
4/29/2003,10120,1900s Vintage Tri-Plane,Planes,"Australian Collectors, Co.",Australia,Australia,36.23,71.73,29,2080.17,1050.67
4/29/2003,10120,1997 BMW F650 ST,Motorcycles,"Australian Collectors, Co.",Australia,Australia,66.92,94.9,22,2087.8,1472.24
4/29/2003,10120,1928 Ford Phaeton Deluxe,Vintage Cars,"Australian Collectors, Co.",Australia,Australia,33.02,68.79,29,1994.91,957.58
4/29/2003,10120,1930 Buick Marquette Phaeton,Vintage Cars,"Australian Collectors, Co.",Australia,Australia,27.06,41.46,49,2031.54,1325.94
4/29/2003,10120,American Airlines: B767-300,Planes,"Australian Collectors, Co.",Australia,Australia,51.15,91.34,47,4292.98,2404.05
4/29/2003,10120,America West Airlines B757-200,Planes,"Australian Collectors, Co.",Australia,Australia,68.8,81.77,24,1962.48,1651.2
4/29/2003,10120,ATA: B757-300,Planes,"Australian Collectors, Co.",Australia,Australia,59.33,106.79,24,2562.96,1423.92
4/29/2003,10120,F/A 18 Hornet 1/72,Planes,"Australian Collectors, Co.",Australia,Australia,54.4,72,43,3096,2339.2
5/21/2003,10125,1937 Lincoln Berline,Vintage Cars,"Australian Collectors, Co.",Australia,Australia,60.62,89.38,32,2860.16,1939.84
5/21/2003,10125,1928 Mercedes-Benz SSK,Vintage Cars,"Australian Collectors, Co.",Australia,Australia,72.56,138.38,34,4704.92,2467.04
2/20/2004,10223,1969 Harley Davidson Ultimate Chopper,Motorcycles,"Australian Collectors, Co.",Australia,Australia,48.81,80.39,37,2974.43,1805.97
2/20/2004,10223,1996 Moto Guzzi 1100i,Motorcycles,"Australian Collectors, Co.",Australia,Australia,68.99,110.61,47,5198.67,3242.53
2/20/2004,10223,2003 Harley-Davidson Eagle Drag Bike,Motorcycles,"Australian Collectors, Co.",Australia,Australia,91.02,189.79,49,9299.71,4459.98
2/20/2004,10223,P-51-D Mustang,Planes,"Australian Collectors, Co.",Australia,Australia,49,67.58,47,3176.26,2303
2/20/2004,10223,1936 Harley Davidson El Knucklehead,Motorcycles,"Australian Collectors, Co.",Australia,Australia,24.23,58.75,28,1645,678.44
2/20/2004,10223,1997 BMW R 1100 S,Motorcycles,"Australian Collectors, Co.",Australia,Australia,60.86,104.81,32,3353.92,1947.52
2/20/2004,10223,1928 British Royal Navy Airplane,Planes,"Australian Collectors, Co.",Australia,Australia,66.74,87.54,34,2976.36,2269.16
2/20/2004,10223,1960 BSA Gold Star DBD34,Motorcycles,"Australian Collectors, Co.",Australia,Australia,37.32,60.94,38,2315.72,1418.16
2/20/2004,10223,1900s Vintage Tri-Plane,Planes,"Australian Collectors, Co.",Australia,Australia,36.23,68.1,23,1566.3,833.29
2/20/2004,10223,1997 BMW F650 ST,Motorcycles,"Australian Collectors, Co.",Australia,Australia,66.92,90.9,21,1908.9,1405.32
2/20/2004,10223,1928 Ford Phaeton Deluxe,Vintage Cars,"Australian Collectors, Co.",Australia,Australia,33.02,66.73,20,1334.6,660.4
2/20/2004,10223,1930 Buick Marquette Phaeton,Vintage Cars,"Australian Collectors, Co.",Australia,Australia,27.06,41.02,41,1681.82,1109.46
2/20/2004,10223,American Airlines: B767-300,Planes,"Australian Collectors, Co.",Australia,Australia,51.15,84.03,25,2100.75,1278.75
2/20/2004,10223,ATA: B757-300,Planes,"Australian Collectors, Co.",Australia,Australia,59.33,113.9,29,3303.1,1720.57
2/20/2004,10223,F/A 18 Hornet 1/72,Planes,"Australian Collectors, Co.",Australia,Australia,54.4,79.2,26,2059.2,1414.4
11/24/2004,10342,1993 Mazda RX-7,Classic Cars,"Australian Collectors, Co.",Australia,Australia,83.51,118.89,40,4755.6,3340.4
11/24/2004,10342,1948 Porsche 356-A Roadster,Classic Cars,"Australian Collectors, Co.",Australia,Australia,53.9,63.14,55,3472.7,2964.5
11/24/2004,10342,1995 Honda Civic,Classic Cars,"Australian Collectors, Co.",Australia,Australia,93.89,115.22,22,2534.84,2065.58
11/24/2004,10342,1992 Ferrari 360 Spider red,Classic Cars,"Australian Collectors, Co.",Australia,Australia,77.9,167.65,30,5029.5,2337
11/24/2004,10342,1969 Dodge Super Bee,Classic Cars,"Australian Collectors, Co.",Australia,Australia,49.05,76.39,25,1909.75,1226.25
11/24/2004,10342,1976 Ford Gran Torino,Classic Cars,"Australian Collectors, Co.",Australia,Australia,73.49,136.7,55,7518.5,4041.95
11/24/2004,10342,1957 Vespa GS150,Motorcycles,"Australian Collectors, Co.",Australia,Australia,32.95,57.82,26,1503.32,856.7
11/24/2004,10342,1957 Corvette Convertible,Classic Cars,"Australian Collectors, Co.",Australia,Australia,69.93,124.99,38,4749.62,2657.34
11/24/2004,10342,1982 Lamborghini Diablo,Classic Cars,"Australian Collectors, Co.",Australia,Australia,16.24,30.59,39,1193.01,633.36
11/24/2004,10342,1971 Alpine Renault 1600s,Classic Cars,"Australian Collectors, Co.",Australia,Australia,38.58,60.01,48,2880.48,1851.84
11/24/2004,10342,1956 Porsche 356A Coupe,Classic Cars,"Australian Collectors, Co.",Australia,Australia,98.3,112.34,42,4718.28,4128.6
11/29/2004,10347,1952 Alpine Renault 1300,Classic Cars,"Australian Collectors, Co.",Australia,Australia,98.58,188.58,30,5657.4,2957.4
11/29/2004,10347,1962 LanciaA Delta 16V,Classic Cars,"Australian Collectors, Co.",Australia,Australia,103.42,132.97,27,3590.19,2792.34
11/29/2004,10347,1958 Setra Bus,Trucks and Buses,"Australian Collectors, Co.",Australia,Australia,77.9,132.57,29,3844.53,2259.1
11/29/2004,10347,1940 Ford Pickup Truck,Trucks and Buses,"Australian Collectors, Co.",Australia,Australia,58.33,113.17,42,4753.14,2449.86
11/29/2004,10347,1936 Mercedes-Benz 500K Special Roadster,Vintage Cars,"Australian Collectors, Co.",Australia,Australia,24.26,46.36,21,973.56,509.46
11/29/2004,10347,1926 Ford Fire Engine,Trucks and Buses,"Australian Collectors, Co.",Australia,Australia,24.92,51.05,50,2552.5,1246
11/29/2004,10347,1928 Mercedes-Benz SSK,Vintage Cars,"Australian Collectors, Co.",Australia,Australia,72.56,136.69,21,2870.49,1523.76
11/29/2004,10347,1913 Ford Model T Speedster,Vintage Cars,"Australian Collectors, Co.",Australia,Australia,60.78,84.09,48,4036.32,2917.44
11/29/2004,10347,1934 Ford V8 Coupe,Vintage Cars,"Australian Collectors, Co.",Australia,Australia,34.35,60.59,34,2060.06,1167.9
11/29/2004,10347,18th Century Vintage Horse Carriage,Vintage Cars,"Australian Collectors, Co.",Australia,Australia,60.74,95.3,45,4288.5,2733.3
11/29/2004,10347,1917 Maxwell Touring Car,Vintage Cars,"Australian Collectors, Co.",Australia,Australia,57.54,84.33,26,2192.58,1496.04
11/29/2004,10347,1940s Ford truck,Trucks and Buses,"Australian Collectors, Co.",Australia,Australia,84.76,115.03,45,5176.35,3814.2
7/23/2004,10275,1969 Harley Davidson Ultimate Chopper,Motorcycles,La Rochelle Gifts,France,France,48.81,81.35,45,3660.75,2196.45
7/23/2004,10275,1996 Moto Guzzi 1100i,Motorcycles,La Rochelle Gifts,France,France,68.99,115.37,22,2538.14,1517.78
7/23/2004,10275,2003 Harley-Davidson Eagle Drag Bike,Motorcycles,La Rochelle Gifts,France,France,91.02,154.93,36,5577.48,3276.72
7/23/2004,10275,P-51-D Mustang,Planes,La Rochelle Gifts,France,France,49,70.12,35,2454.2,1715
7/23/2004,10275,1936 Harley Davidson El Knucklehead,Motorcycles,La Rochelle Gifts,France,France,24.23,52.09,37,1927.33,896.51
7/23/2004,10275,1997 BMW R 1100 S,Motorcycles,La Rochelle Gifts,France,France,60.86,105.94,21,2224.74,1278.06
7/23/2004,10275,1928 British Royal Navy Airplane,Planes,La Rochelle Gifts,France,France,66.74,97.38,25,2434.5,1668.5
7/23/2004,10275,1960 BSA Gold Star DBD34,Motorcycles,La Rochelle Gifts,France,France,37.32,61.7,30,1851,1119.6
7/23/2004,10275,Corsair F4U ( Bird Cage),Planes,La Rochelle Gifts,France,France,29.34,58,41,2378,1202.94
7/23/2004,10275,1900s Vintage Tri-Plane,Planes,La Rochelle Gifts,France,France,36.23,67.38,27,1819.26,978.21
7/23/2004,10275,1997 BMW F650 ST,Motorcycles,La Rochelle Gifts,France,France,66.92,89.9,23,2067.7,1539.16
7/23/2004,10275,1928 Ford Phaeton Deluxe,Vintage Cars,La Rochelle Gifts,France,France,33.02,58.47,28,1637.16,924.56
7/23/2004,10275,1930 Buick Marquette Phaeton,Vintage Cars,La Rochelle Gifts,France,France,27.06,40.15,38,1525.7,1028.28
7/23/2004,10275,American Airlines: B767-300,Planes,La Rochelle Gifts,France,France,51.15,85.86,32,2747.52,1636.8
7/23/2004,10275,America West Airlines B757-200,Planes,La Rochelle Gifts,France,France,68.8,82.77,39,3228.03,2683.2
7/23/2004,10275,ATA: B757-300,Planes,La Rochelle Gifts,France,France,59.33,102.04,48,4897.92,2847.84
7/23/2004,10275,F/A 18 Hornet 1/72,Planes,La Rochelle Gifts,France,France,54.4,72,43,3096,2339.2
7/23/2004,10275,American Airlines: MD-11S,Planes,La Rochelle Gifts,France,France,36.27,59.96,31,1858.76,1124.37
10/29/2004,10315,1904 Buick Runabout,Vintage Cars,La Rochelle Gifts,France,France,52.66,78.12,36,2812.32,1895.76
10/29/2004,10315,18th century schooner,Ships,La Rochelle Gifts,France,France,82.34,111.83,35,3914.05,2881.9
10/29/2004,10315,1912 Ford Model T Delivery Wagon,Vintage Cars,La Rochelle Gifts,France,France,46.91,78.77,24,1890.48,1125.84
10/29/2004,10315,The Schooner Bluenose,Ships,La Rochelle Gifts,France,France,34,60.67,41,2487.47,1394
10/29/2004,10315,The Titanic,Ships,La Rochelle Gifts,France,France,51.09,99.17,31,3074.27,1583.79
10/29/2004,10315,The Queen Mary,Ships,La Rochelle Gifts,France,France,53.63,88.39,37,3270.43,1984.31
10/29/2004,10315,Pont Yacht,Ships,La Rochelle Gifts,France,France,33.3,51.32,40,2052.8,1332
2/3/2005,10375,1969 Harley Davidson Ultimate Chopper,Motorcycles,La Rochelle Gifts,France,France,48.81,76.56,21,1607.76,1025.01
2/3/2005,10375,1968 Ford Mustang,Classic Cars,La Rochelle Gifts,France,France,95.34,184.84,45,8317.8,4290.3
2/3/2005,10375,2002 Suzuki XREO,Motorcycles,La Rochelle Gifts,France,France,66.27,150.62,49,7380.38,3247.23
2/3/2005,10375,1960 BSA Gold Star DBD34,Motorcycles,La Rochelle Gifts,France,France,37.32,67.03,23,1541.69,858.36
2/3/2005,10375,1982 Ducati 900 Monster,Motorcycles,La Rochelle Gifts,France,France,47.1,60.26,20,1205.2,942
2/3/2005,10375,1900s Vintage Tri-Plane,Planes,La Rochelle Gifts,France,France,36.23,60.13,43,2585.59,1557.89
2/3/2005,10375,1997 BMW F650 ST,Motorcycles,La Rochelle Gifts,France,France,66.92,87.9,37,3252.3,2476.04
2/3/2005,10375,1928 Ford Phaeton Deluxe,Vintage Cars,La Rochelle Gifts,France,France,33.02,59.85,44,2633.4,1452.88
2/3/2005,10375,1974 Ducati 350 Mk3 Desmo,Motorcycles,La Rochelle Gifts,France,France,56.13,96.95,41,3974.95,2301.33
2/3/2005,10375,1930 Buick Marquette Phaeton,Vintage Cars,La Rochelle Gifts,France,France,27.06,36.22,49,1774.78,1325.94
2/3/2005,10375,2002 Yamaha YZR M1,Motorcycles,La Rochelle Gifts,France,France,34.17,69.16,49,3388.84,1674.33
2/3/2005,10375,American Airlines: B767-300,Planes,La Rochelle Gifts,France,France,51.15,86.77,37,3210.49,1892.55
2/3/2005,10375,America West Airlines B757-200,Planes,La Rochelle Gifts,France,France,68.8,94.73,33,3126.09,2270.4
2/3/2005,10375,ATA: B757-300,Planes,La Rochelle Gifts,France,France,59.33,98.48,25,2462,1483.25
2/3/2005,10375,F/A 18 Hornet 1/72,Planes,La Rochelle Gifts,France,France,54.4,69.6,44,3062.4,2393.6
5/31/2005,10425,1962 LanciaA Delta 16V,Classic Cars,La Rochelle Gifts,France,France,103.42,131.49,38,4996.62,3929.96
5/31/2005,10425,1957 Chevy Pickup,Trucks and Buses,La Rochelle Gifts,France,France,55.7,95.99,33,3167.67,1838.1
5/31/2005,10425,1998 Chrysler Plymouth Prowler,Classic Cars,La Rochelle Gifts,France,France,101.51,147.36,28,4126.08,2842.28
5/31/2005,10425,1964 Mercedes Tour Bus,Trucks and Buses,La Rochelle Gifts,France,France,74.86,117.82,38,4477.16,2844.68
5/31/2005,10425,1926 Ford Fire Engine,Trucks and Buses,La Rochelle Gifts,France,France,24.92,48.62,19,923.78,473.48
5/31/2005,10425,1992 Ferrari 360 Spider red,Classic Cars,La Rochelle Gifts,France,France,77.9,140.55,28,3935.4,2181.2
5/31/2005,10425,1940s Ford truck,Trucks and Buses,La Rochelle Gifts,France,France,84.76,107.76,38,4094.88,3220.88
5/31/2005,10425,1970 Dodge Coronet,Classic Cars,La Rochelle Gifts,France,France,32.37,53.75,55,2956.25,1780.35
5/31/2005,10425,1962 Volkswagen Microbus,Trucks and Buses,La Rochelle Gifts,France,France,61.34,127.79,49,6261.71,3005.66
5/31/2005,10425,1958 Chevy Corvette Limited Edition,Classic Cars,La Rochelle Gifts,France,France,15.91,31.82,31,986.42,493.21
5/31/2005,10425,1980?s GM Manhattan Express,Trucks and Buses,La Rochelle Gifts,France,France,53.93,83.79,41,3435.39,2211.13
5/31/2005,10425,1954 Greyhound Scenicruiser,Trucks and Buses,La Rochelle Gifts,France,France,25.98,50.32,11,553.52,285.78
5/31/2005,10425,Diamond T620 Semi-Skirted Tanker,Trucks and Buses,La Rochelle Gifts,France,France,68.29,94.92,18,1708.56,1229.22
1/29/2003,10103,1952 Alpine Renault 1300,Classic Cars,Baane Mini Imports,Norway,UK,98.58,214.3,26,5571.8,2563.08
1/29/2003,10103,1962 LanciaA Delta 16V,Classic Cars,Baane Mini Imports,Norway,UK,103.42,119.67,42,5026.14,4343.64
1/29/2003,10103,1958 Setra Bus,Trucks and Buses,Baane Mini Imports,Norway,UK,77.9,121.64,27,3284.28,2103.3
1/29/2003,10103,1940 Ford Pickup Truck,Trucks and Buses,Baane Mini Imports,Norway,UK,58.33,94.5,35,3307.5,2041.55
1/29/2003,10103,1926 Ford Fire Engine,Trucks and Buses,Baane Mini Imports,Norway,UK,24.92,58.34,22,1283.48,548.24
1/29/2003,10103,1913 Ford Model T Speedster,Vintage Cars,Baane Mini Imports,Norway,UK,60.78,92.19,27,2489.13,1641.06
1/29/2003,10103,1934 Ford V8 Coupe,Vintage Cars,Baane Mini Imports,Norway,UK,34.35,61.84,35,2164.4,1202.25
1/29/2003,10103,18th Century Vintage Horse Carriage,Vintage Cars,Baane Mini Imports,Norway,UK,60.74,86.92,25,2173,1518.5
1/29/2003,10103,1917 Maxwell Touring Car,Vintage Cars,Baane Mini Imports,Norway,UK,57.54,86.31,46,3970.26,2646.84
1/29/2003,10103,1940s Ford truck,Trucks and Buses,Baane Mini Imports,Norway,UK,84.76,98.07,36,3530.52,3051.36
1/29/2003,10103,1939 Cadillac Limousine,Vintage Cars,Baane Mini Imports,Norway,UK,23.14,40.75,41,1670.75,948.74
1/29/2003,10103,1962 Volkswagen Microbus,Trucks and Buses,Baane Mini Imports,Norway,UK,61.34,107.34,36,3864.24,2208.24
1/29/2003,10103,1936 Chrysler Airflow,Vintage Cars,Baane Mini Imports,Norway,UK,57.46,88.62,25,2215.5,1436.5
1/29/2003,10103,1980?s GM Manhattan Express,Trucks and Buses,Baane Mini Imports,Norway,UK,53.93,92.46,31,2866.26,1671.83
1/29/2003,10103,1996 Peterbilt 379 Stake Bed with Outrigger,Trucks and Buses,Baane Mini Imports,Norway,UK,33.61,63.35,45,2850.75,1512.45
1/29/2003,10103,1982 Camaro Z28,Classic Cars,Baane Mini Imports,Norway,UK,46.53,94.07,42,3950.94,1954.26
10/10/2003,10158,1960 BSA Gold Star DBD34,Motorcycles,Baane Mini Imports,Norway,UK,37.32,67.79,22,1491.38,821.04
10/15/2004,10309,1969 Harley Davidson Ultimate Chopper,Motorcycles,Baane Mini Imports,Norway,UK,48.81,94.74,41,3884.34,2001.21
10/15/2004,10309,2002 Suzuki XREO,Motorcycles,Baane Mini Imports,Norway,UK,66.27,144.6,26,3759.6,1723.02
10/15/2004,10309,1997 BMW R 1100 S,Motorcycles,Baane Mini Imports,Norway,UK,60.86,96.92,21,2035.32,1278.06
10/15/2004,10309,1982 Ducati 900 Monster,Motorcycles,Baane Mini Imports,Norway,UK,47.1,59.56,24,1429.44,1130.4
10/15/2004,10309,1974 Ducati 350 Mk3 Desmo,Motorcycles,Baane Mini Imports,Norway,UK,56.13,93.89,50,4694.5,2806.5
10/15/2004,10309,2002 Yamaha YZR M1,Motorcycles,Baane Mini Imports,Norway,UK,34.17,74.04,28,2073.12,956.76
11/5/2004,10325,1972 Alfa Romeo GTA,Classic Cars,Baane Mini Imports,Norway,UK,85.68,111.52,47,5241.44,4026.96
11/5/2004,10325,2001 Ferrari Enzo,Classic Cars,Baane Mini Imports,Norway,UK,95.59,193.25,42,8116.5,4014.78
11/5/2004,10325,1969 Ford Falcon,Classic Cars,Baane Mini Imports,Norway,UK,83.05,166.1,24,3986.4,1993.2
11/5/2004,10325,1903 Ford Model A,Vintage Cars,Baane Mini Imports,Norway,UK,68.3,114.74,24,2753.76,1639.2
11/5/2004,10325,1992 Porsche Cayenne Turbo Silver,Classic Cars,Baane Mini Imports,Norway,UK,69.78,114.73,44,5048.12,3070.32
11/5/2004,10325,1954 Greyhound Scenicruiser,Trucks and Buses,Baane Mini Imports,Norway,UK,25.98,44.37,38,1686.06,987.24
11/5/2004,10325,1950's Chicago Surface Lines Streetcar,Trains,Baane Mini Imports,Norway,UK,26.72,55.3,28,1548.4,748.16
11/5/2004,10325,Diamond T620 Semi-Skirted Tanker,Trucks and Buses,Baane Mini Imports,Norway,UK,68.29,99.55,38,3782.9,2595.02
11/5/2004,10325,1962 City of Detroit Streetcar,Trains,Baane Mini Imports,Norway,UK,37.49,56.24,44,2474.56,1649.56
3/26/2003,10113,1958 Setra Bus,Trucks and Buses,Mini Gifts Distributors Ltd.,USA,USA,77.9,121.64,21,2554.44,1635.9
3/26/2003,10113,1940 Ford Pickup Truck,Trucks and Buses,Mini Gifts Distributors Ltd.,USA,USA,58.33,101.5,49,4973.5,2858.17
3/26/2003,10113,1939 Cadillac Limousine,Vintage Cars,Mini Gifts Distributors Ltd.,USA,USA,23.14,43.27,50,2163.5,1157
3/26/2003,10113,1996 Peterbilt 379 Stake Bed with Outrigger,Trucks and Buses,Mini Gifts Distributors Ltd.,USA,USA,33.61,58.82,23,1352.86,773.03
7/2/2003,10135,1968 Ford Mustang,Classic Cars,Mini Gifts Distributors Ltd.,USA,USA,95.34,173.17,42,7273.14,4004.28
7/2/2003,10135,1968 Dodge Charger,Classic Cars,Mini Gifts Distributors Ltd.,USA,USA,75.16,110.39,48,5298.72,3607.68
7/2/2003,10135,1970 Plymouth Hemi Cuda,Classic Cars,Mini Gifts Distributors Ltd.,USA,USA,31.92,72.62,24,1742.88,766.08
7/2/2003,10135,1969 Dodge Charger,Classic Cars,Mini Gifts Distributors Ltd.,USA,USA,58.73,103.64,29,3005.56,1703.17
7/2/2003,10135,1948 Porsche 356-A Roadster,Classic Cars,Mini Gifts Distributors Ltd.,USA,USA,53.9,66.99,48,3215.52,2587.2
7/2/2003,10135,1969 Dodge Super Bee,Classic Cars,Mini Gifts Distributors Ltd.,USA,USA,49.05,65.94,45,2967.3,2207.25
7/2/2003,10135,1976 Ford Gran Torino,Classic Cars,Mini Gifts Distributors Ltd.,USA,USA,73.49,139.64,42,5864.88,3086.58
7/2/2003,10135,1957 Vespa GS150,Motorcycles,Mini Gifts Distributors Ltd.,USA,USA,32.95,49.74,45,2238.3,1482.75
7/2/2003,10135,1957 Corvette Convertible,Classic Cars,Mini Gifts Distributors Ltd.,USA,USA,69.93,133.92,31,4151.52,2167.83
7/2/2003,10135,1982 Ducati 900 Monster,Motorcycles,Mini Gifts Distributors Ltd.,USA,USA,47.1,67.18,29,1948.22,1365.9
7/2/2003,10135,1982 Lamborghini Diablo,Classic Cars,Mini Gifts Distributors Ltd.,USA,USA,16.24,34.36,20,687.2,324.8
7/2/2003,10135,1971 Alpine Renault 1600s,Classic Cars,Mini Gifts Distributors Ltd.,USA,USA,38.58,52.05,27,1405.35,1041.66
7/2/2003,10135,1956 Porsche 356A Coupe,Classic Cars,Mini Gifts Distributors Ltd.,USA,USA,98.3,139.03,47,6534.41,4620.1
7/2/2003,10135,1961 Chevrolet Impala,Classic Cars,Mini Gifts Distributors Ltd.,USA,USA,32.33,76.8,23,1766.4,743.59
7/2/2003,10135,1982 Ducati 996 R,Motorcycles,Mini Gifts Distributors Ltd.,USA,USA,24.14,38.62,33,1274.46,796.62
7/2/2003,10135,1974 Ducati 350 Mk3 Desmo,Motorcycles,Mini Gifts Distributors Ltd.,USA,USA,56.13,91.85,30,2755.5,1683.9
7/2/2003,10135,2002 Yamaha YZR M1,Motorcycles,Mini Gifts Distributors Ltd.,USA,USA,34.17,78.92,44,3472.48,1503.48
8/8/2003,10142,2001 Ferrari Enzo,Classic Cars,Mini Gifts Distributors Ltd.,USA,USA,95.59,166.24,33,5485.92,3154.47
8/8/2003,10142,1969 Corvair Monza,Classic Cars,Mini Gifts Distributors Ltd.,USA,USA,89.14,140.5,33,4636.5,2941.62
8/8/2003,10142,1969 Ford Falcon,Classic Cars,Mini Gifts Distributors Ltd.,USA,USA,83.05,167.83,46,7720.18,3820.3
8/8/2003,10142,1903 Ford Model A,Vintage Cars,Mini Gifts Distributors Ltd.,USA,USA,68.3,129.76,47,6098.72,3210.1
